Le Mis	5		Hamilton	1		Anastasia	2		Wicked	4		1776	8		Noises off		
Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10	
Costumes	7		Costumes	10		Costumes	8.5		Costumes	8		Costumes	7		Costumes	8	
Set	10		Set	9		Set	9.5		Set	10		Set	1		Set	10	
Songs	5		Songs	10		Songs	9		Songs	8.5		Songs	2		Songs	10	
Acting	9		Acting	8		Acting	9		Acting	7		Acting	5		Acting	10	
Comedy	3		Comedy	7		Comedy	10		Comedy	5		Comedy	9		Comedy	10	
Choreography	6		Choreography	10		Choreography	8		Choreography	7		Choreography	3		Choreography	10	
Interest	7		Interest	10		Interest	9		Interest	8.5		Interest	2		Interest	10	
Story	8		Story	10		Story	9		Story	10		Story	2.5		Story	10	
Singing	10		Singing	10		Singing	10		Singing	8		Singing	4		Singing	10	
Total	65	6	Total	84	3	Total	82	2	Total	72	5	Total	35.5	7	Total	88	10
Lion King	3		man of la mancha	7		Alaidian 	6		Peter Pan goes wrong 			Six			MJ		
Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10		Category	Score/10	
Costumes	10		Costumes			Costumes	9		Costumes	9		Costumes	10		Costumes	9	
Set	9		Set			Set	9.5		Set	10		Set	10		Set	7	
Songs	9		Songs			Songs	7		Songs	8		Songs	10		Songs	10	
Acting	10		Acting			Acting	8.5		Acting	10		Acting	10		Acting	10	
Comedy	5.5		Comedy			Comedy	8		Comedy	10		Comedy	10		Comedy	7	
Choreography	8		Choreography			Choreography	8		Choreography	9		Choreography	10		Choreography	9.5	
Interest	9.5		Interest			Interest	8		Interest	10		Interest	10		Interest	8.5	
Story	9		Story			Story	8.5		Story	9		Story	10		Story	10	
Singing	9		Singing			Singing	9		Singing	8		Singing	10		Singing	10	
Total	79	1	Total	0		Total	75.5	4	Total	83		Total	90		Total	81	9